beta0,beta1,beta2,beta3,gamma0,gamma1,rho,lambda,sigma_e,sigma_u
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0
-9.81743563332,6.67833264301,0.522206481775,1.96095630952,17.1568637752,-5.21380610444,0.76,0.454,28.1221124361,8.5784892569
1.06692505611,5.95419958924,0.150329813403,1.16424800974,1.78983802149,-3.58392262281,0.755,-0.299,1.92134361807,4.33240320046
0.125305047622,6.0641091561,-0.15851746656,1.94902522237,2.45643876977,-3.23872674939,0.776,0.331,0.945837312889,1.04749331002
-0.092561792582,6.05697114911,0.0291309876178,1.93685678492,2.15881421179,-3.39193371834,0.79,0.256,0.670312774509,3.64496975336
7.96569048071,5.99818295855,-0.0313058041703,1.88499891181,-6.34657671621,-3.35804600986,0.794,-0.417,0.58347460004,2.97268458285
-9.92310692316,6.03268446346,0.0113609079012,1.91939731559,11.5985849054,-3.23573567379,0.793,-0.722,0.354100912004,2.02314798592
0.841044596144,6.02356909478,-0.0261322791583,2.06706222324,0.802859312555,-3.13782131453,0.798,-0.535,0.390015108548,2.06669563856
2.58778586767,6.02896608695,-0.0625389690915,2.11124307121,-0.978568355717,-3.11257526064,0.806,0.135,0.478502382544,5.13720290167
-2.94018899285,6.02754676256,-0.0730821105164,2.0193650117,4.36465259698,-3.09216649322,0.803,0.188,0.581592142679,2.73657567168
5.50421508469,6.04401928737,-0.105501966459,2.16527316267,-3.89066335245,-3.18368113699,0.796,-0.212,0.476900758631,2.55745206545
-8.21091642641,6.03170850516,-0.00922525518551,2.07635119383,10.1404615329,-3.21917910718,0.795,0.265,0.402044918725,4.26038229237
7.80600186422,6.003830812,-0.0725183405295,1.88838769424,-5.91438411661,-3.24094493277,0.797,0.023,0.472736117216,1.5441027181
2.88797019306,6.04948089607,-0.0911010448567,1.95781738501,-1.20736946161,-3.19222137172,0.797,-0.182,0.403033936343,0.700854069569
0.225466114733,6.00980484846,-0.0722221297421,2.02730983629,1.45530587435,-3.20683412989,0.793,0.231,0.475913339664,0.873004463218
-6.96376796537,6.02722492572,-0.0569295088419,2.01953065779,8.65014452307,-3.27246975399,0.797,0.157,0.475567882042,2.49402274428
4.18232175442,6.01363580893,-0.0783572275269,2.1587696725,-2.61074462368,-3.27667621689,0.803,-0.281,0.443641589787,1.08665459707
2.47366969878,6.00394346279,-0.0216840156274,1.99273240668,-0.980223012961,-3.21378104726,0.795,0.333,0.495932912879,1.84434949973
7.74807887445,6.02885905367,-0.107347919369,1.94702441802,-5.92734796268,-3.28514013779,0.798,0.449,0.567657131224,0.885559538552
7.69960081905,5.97331876447,-0.0257251884615,2.05630237694,-5.7936131769,-3.23881731729,0.794,0.489,0.531041530015,5.462386472
2.12734229581,6.042845806,-0.0629066879764,2.04336447529,-0.262962664688,-3.23386912107,0.794,-0.039,0.436714472545,1.67697784303
-1.914519381,6.04074963557,0.0279756370814,1.90379067851,3.89562851036,-3.30591261154,0.793,0.199,0.515374353309,1.24794021695
6.92491988934,6.02685477839,-0.0978618751192,2.02911566932,-4.90355030191,-3.28202879758,0.797,-0.478,0.440664131552,1.59025955427
-14.3672923897,6.00781052908,-0.0988624496516,1.90368352361,16.3567304567,-3.25902591169,0.799,-0.396,0.53916376482,1.01833962135
0.412919185584,5.9970855723,0.0606092738318,1.88881311367,1.74755426984,-3.17365097578,0.802,-0.327,0.440532378073,2.98921642518
8.37183821847,6.01328586299,-0.0563538094699,1.87669902465,-6.4375340046,-3.17909024986,0.804,0.204,0.442598077423,0.737499513153
10.6704165765,5.96378971707,-0.0180071234568,1.9486613634,-8.97470906946,-3.18074334144,0.799,0.659,0.454392534506,3.23579940013
7.10930239775,6.03093434445,-0.00170912235419,2.00733428598,-5.24910643927,-3.3223190398,0.798,0.275,0.366458791939,0.551626825806
6.18139212011,6.05126202618,-0.0384758077989,1.97026368488,-4.37911559642,-3.34986542559,0.794,0.069,0.572648136971,4.57625263992
11.4397111645,6.05726091914,0.0221660281808,2.15585922987,-9.8291951543,-3.48467358421,0.804,-0.432,0.506600387757,1.17519878896
1.1655751298,5.9751037631,-0.0204714046658,1.97267986234,0.246421802742,-3.41112523695,0.792,0.255,0.542073885518,0.8814929819
5.57224624389,6.02013079195,-0.0520169696377,1.90808674471,-3.8938090116,-3.37652763097,0.795,-0.147,0.508125913622,0.904223917282
-8.28615748805,6.04335049112,-0.0331909248447,1.79873523566,10.1734672069,-3.40722237394,0.796,0.597,0.481070147418,1.47745139122
-9.93596557779,5.98614688785,-0.0161308247146,1.8778000165,11.6794052395,-3.39732136427,0.799,-0.112,0.470957142616,3.07620254201
-0.178600359845,5.9873881489,-0.0951361932311,1.92958688532,1.92520243323,-3.40677731868,0.803,0.542,0.563380037294,0.797667136462
9.86344159233,6.01437554517,-0.0495720695296,2.09055885448,-8.15982562326,-3.46867726998,0.797,0.38,0.437926298365,2.25371465773
9.52956233272,5.99460939139,-0.0254887553016,2.03479434512,-7.7512480518,-3.44472200131,0.801,-0.144,0.596355630758,1.35733481409
11.5739906729,6.0201892551,-0.00599012073048,1.987324303,-9.8142829306,-3.42280633498,0.8,-0.743,0.521913596237,1.28620107086
-2.71135322977,6.00701437033,0.0100388648055,1.99833808811,4.51879850854,-3.39668276585,0.8,0.344,0.4731069678,0.482918017633
0.364872537448,6.02256042367,-0.0513591777613,1.89581101659,1.27801887128,-3.39640755111,0.8,0.677,0.595558852535,0.740991670143
-1.20639484468,6.00157769012,-0.0435310413173,2.00920536291,2.99946251958,-3.4099761713,0.805,0.289,0.379667812812,0.89233859156
14.5968245305,6.03088067286,-0.00220838327942,1.96705096006,-12.9281589973,-3.37869247179,0.8,0.622,0.543604422808,0.271654327176
-2.25809559342,6.03655310053,-0.0443623752237,1.94591388501,4.07706939617,-3.3026845306,0.805,-0.338,0.582466601851,0.857602268668
-3.96499726309,5.97580163522,-0.118086652159,1.95593990286,5.79481640752,-3.28936942996,0.8,0.068,0.562516988129,0.639186793001
1.74064891666,6.03121237042,-0.00877678246615,2.08398846398,0.214887572726,-3.37361826017,0.798,-0.049,0.523858099251,1.04727705022
10.2466495095,6.06104861381,-0.00487718119814,1.84885364664,-8.19818120602,-3.40784188892,0.799,0.425,0.471351396347,2.1859829435
-2.81964429015,6.00350317383,-0.099611716511,1.93413473612,4.939722803,-3.43804246514,0.798,0.485,0.372763130233,0.819756095969
1.53512170439,6.01422269207,-0.0228668656357,1.99899852742,0.831790715216,-3.47147428793,0.802,-0.535,0.487232373333,3.62801587971
0.191996600281,5.95830317645,-0.0206684269503,1.91865067748,2.03954708415,-3.45628188077,0.8,-0.379,0.530048766144,1.0873595127
-2.99261179126,5.9745631288,0.00446484533088,2.13953555023,5.38436535357,-3.45352533005,0.8,0.703,0.394665478562,4.93858379362
6.38598885558,6.03844409254,-0.0984407735834,1.94704579754,-4.17087351916,-3.52481806779,0.801,0.885,0.521342204259,0.505755086582
7.15788927195,6.02499987173,-0.0692940260044,2.01443557345,-4.795816277,-3.50907427863,0.802,-0.017,0.482924399174,0.437976279063
-8.72766168179,5.99810229784,-0.0404543527816,1.93990423927,11.2517677776,-3.48218877566,0.794,0.412,0.399722616023,2.54734449674
10.1403849665,6.03616115574,-0.0165099691015,1.89844760991,-7.48743912205,-3.46225058167,0.805,-0.051,0.464325393336,0.972949492064
2.26210208754,6.0109127605,-0.0344635472637,1.9045589673,0.0896426983626,-3.40326122467,0.804,0.12,0.512142824904,20.8833535877
