beta0,beta1,beta2,beta3,gamma0,gamma1,rho,lambda,sigma_e,sigma_u
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0
3.82945787492,6.64068430311,0.296934668893,2.04130485409,3.5413791144,-5.31810561981,0.758,-0.155,24.1525555965,12.6097278484
0.793311797858,5.90094785051,-0.233267556974,1.44620111778,2.33180521606,-3.88658420031,0.783,-0.702,2.07613587031,0.628542956552
7.68570620854,6.0026386482,-0.0892161808496,1.94537308583,-4.86309456922,-3.94848221643,0.79,-0.16,0.747358224603,0.705850740559
6.96151322416,5.98043744957,-0.0574242773621,1.99048961855,-4.42432992364,-3.9889023926,0.802,-0.128,0.49388345469,1.42733192042
6.72205021237,6.00581640157,-0.00166371015524,2.07964246612,-4.43343566823,-3.97383304883,0.8,0.427,0.588456629115,0.968987461814
4.52567787198,6.03069953693,-0.0902250153387,2.01764432757,-2.30010965121,-4.02144945441,0.81,0.574,0.489036019811,0.652799704516
19.6183021101,5.98535106241,-0.0472171601384,2.12648434005,-17.4594734368,-3.96054294535,0.797,-0.097,0.454188216578,0.199474600007
2.92042671789,5.97000864506,-0.0460410721634,1.99582927465,-0.472738320544,-3.96833437945,0.799,0.739,0.381141954826,0.452015774788
9.72572639024,5.98242772595,-0.0689036823522,1.91895238473,-7.39789758255,-3.97936121824,0.801,0.498,0.40515680439,0.208682087617
6.12457696477,6.03797653264,-0.0522879584233,2.00129991427,-3.81438490852,-3.99544145765,0.8,0.525,0.430208208861,0.238427332867
10.1194525793,6.00143237284,-0.0506758527041,2.05446184558,-7.8106780081,-4.02841492413,0.799,0.563,0.537565868929,0.136921113726
-10.1085006712,6.0435719694,0.0658860328391,1.92678859909,12.4474155098,-3.99160788459,0.801,0.565,0.417861603075,0.170079867625
5.0118811205,6.00589453611,-0.0661350837232,2.11991155477,-2.86234607104,-3.99700951495,0.804,0.329,0.454458382713,0.0655994641982
5.42468815502,5.97308983212,-0.0360605140483,1.86589373042,-3.36890997316,-4.00059389832,0.802,0.246,0.426713253973,0.054953097293
2.39646711384,5.9982233014,-0.0811662209611,2.13038397246,-0.424191036884,-3.98952403115,0.794,-0.04,0.67552177827,1.30322995737
6.71497436241,6.03951622842,0.00613628591965,1.89220863238,-4.55262212218,-3.95705216712,0.799,0.513,0.468199363911,0.133974719116
8.31471855731,6.01216338801,-0.0258732999894,1.93301786188,-6.26495201994,-3.97369435736,0.803,0.236,0.411836551502,0.591324653561
6.44256056302,6.01366227692,-0.0942961726135,2.04904474657,-4.44592296307,-4.02311656252,0.8,-0.906,0.493324093785,0.258180167268
1.69786565865,6.00417144275,-0.0131229756409,1.93462693632,0.245005876671,-4.04856674187,0.797,-0.671,0.629609592919,0.196004713354
4.95395325809,6.00823937412,-0.0706186850651,1.95603796725,-3.05624298232,-3.97998195722,0.796,0.057,0.516541501839,0.14218008719
-11.169620984,5.98741508916,0.0145335440662,2.0081523638,12.8996268732,-4.01611777996,0.797,0.454,0.464030613941,0.0643157955296
3.66646564768,6.02563655492,0.0157432260554,2.04975769747,-2.14669810713,-3.97287481976,0.788,0.681,0.522639847475,1.19554527986
-4.57392300532,6.09387414329,0.0302074589448,2.13663787086,6.28679711252,-4.05555860765,0.801,0.072,0.570389875465,0.879407047274
-14.1133153033,5.98948820954,0.022186897419,1.8208147502,15.6365972424,-3.84921287646,0.801,0.331,0.384914739962,0.224222418929
0.147419335361,5.96778628588,-0.0667280420794,1.94080669544,1.49174031404,-3.84278349173,0.798,-0.062,0.377680681915,0.140355080768
-9.07677980366,6.00051161984,-0.014950984341,1.95014863386,10.6905063386,-3.86041397971,0.803,0.441,0.551848077734,1.94194421902
-1.98723382472,5.98640897018,0.00463201321525,2.01485453384,3.44236986485,-3.8396159204,0.804,-0.675,0.487948647409,0.0694006299251
-6.81461335629,6.0027634966,-0.0547260192982,1.88188060052,8.39314680357,-3.78131802167,0.797,-0.663,0.348349645279,0.383669887736
-0.0582127357453,5.96784212505,-0.106516363161,1.93738487012,1.85433201307,-3.88370811315,0.801,0.058,0.558499383435,0.101007422896
-5.00865658307,5.97921907374,0.000555644943107,1.9157814692,6.74328734314,-3.89887689158,0.788,0.132,0.468043220719,0.0687920149489
3.51629721178,6.02159535961,-0.0102268766814,2.05304116367,-1.55639218824,-3.95900165503,0.798,-0.365,0.634163685854,0.291570075903
1.97855941896,6.02818043137,-0.0498353105636,1.97780822741,-0.0658223084847,-4.03119162972,0.795,0.703,0.456609053823,0.944690888591
3.94521721063,6.00667019057,-0.0190815605508,1.97937284676,-1.92575369181,-4.11249048296,0.803,0.306,0.578695962703,0.163235769649
