beta0,beta1,beta2,beta3,gamma0,gamma1,rho,lambda,sigma_e,sigma_u
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0
-8.7811598684,6.7350491575,0.323077403469,2.07256132975,16.6550493057,-5.28372454962,0.755,-0.712,25.5047055803,2.17393101783
-3.25142397168,6.06218985892,0.216936351189,1.81129396841,5.06748228303,-4.02510396763,0.773,-0.126,2.1566319596,2.34339811291
12.0760021259,6.01132622688,-0.167123418538,1.74388615566,-10.0445996134,-4.11195546272,0.796,-0.539,0.784956227531,1.40510570168
-18.8568176858,5.96645214238,0.0845889582247,1.74959828903,20.2944393467,-3.91856399396,0.804,-0.428,0.651472206265,0.590159886642
3.02932174123,5.99636321664,-0.0669116484599,2.18234575196,-1.84652419411,-4.0008314149,0.789,0.687,0.595759789338,0.770952424845
3.94065456494,6.04043561533,0.0196099570719,2.16479222902,-2.32547749689,-4.05619994147,0.8,-0.93,0.534336316726,3.25249863375
9.46136489536,6.02577690817,-0.0769608071999,1.95036334524,-8.26390890705,-4.06413916746,0.805,0.263,0.519532445134,2.17265011572
-7.37531426367,5.93807303818,-0.00484305626433,2.08499194046,8.64518918134,-4.15698055438,0.801,-0.673,0.547327377813,5.37401718518
1.4169265417,6.0084716412,-0.10338353596,2.00760823599,-0.210502161467,-4.26458939283,0.803,0.013,0.441248999098,0.781934477344
-0.604714180587,6.0240939584,-0.0711371185227,1.88681669284,1.80767922073,-4.25186467429,0.798,0.102,0.50387678652,0.594344282387
12.0785502634,6.00207502587,-0.0055280650327,1.94169627907,-10.643925963,-4.26376445738,0.797,0.281,0.485594668649,0.73727711115
1.74626408453,6.04552291991,-0.0161062084968,2.05991657707,-0.252931196973,-4.24094191736,0.8,-0.424,0.388687164535,0.40211123213
8.84018178341,6.01042411414,-0.0529416563589,2.01620593415,-7.34423248598,-4.23977411229,0.807,-0.742,0.461363274643,0.759509829222
5.32665797738,5.98783259327,0.00575173547653,2.10448863772,-4.09602059789,-4.20021068027,0.802,0.36,0.646251413863,0.668957643645
-9.10511203425,6.00369229587,-0.0297418241632,2.08592027563,10.503388812,-4.21635463465,0.8,-0.732,0.463659787906,3.08386783253
15.8951967299,6.01864472629,-0.0611300032099,2.03670650967,-14.4664325419,-4.25577873177,0.804,0.553,0.425866879571,3.96451208508
10.4027417651,5.99683549709,-0.00465892929489,2.14742684395,-9.1318812576,-4.27590245401,0.802,0.14,0.410496257321,2.32624808236
0.347901056744,5.98665639711,-0.0885684970443,1.98177615369,1.12739956489,-4.148048677,0.802,0.281,0.534711994815,0.579291360288
0.788122392789,6.00130675956,-0.0404422160561,1.96381508086,0.568389794961,-4.07148068467,0.8,0.328,0.469274352343,0.690009606397
-2.83960034834,5.98403094058,-0.0875079688286,1.86577014713,4.31626639738,-4.10612566739,0.802,-0.417,0.486390254803,0.776938569614
7.58456711216,6.01205883542,-0.0502793565871,2.02758658319,-6.18615366254,-4.04448080993,0.8,0.384,0.527736191241,0.433315246887
7.0523472503,6.00392669201,-0.0662739656183,1.98723666614,-5.61616434895,-4.01220661982,0.806,-0.012,0.586110689528,0.745086422581
-12.7293202861,6.00949086788,-0.0145680696262,2.0427157301,14.0186527295,-4.00481452426,0.806,-0.245,0.405208276225,3.08482365853
5.68922330966,6.00649168348,-0.0286120540212,2.00855616268,-4.3329640917,-4.06340199793,0.803,0.275,0.335550297517,0.574037510507
-5.20441504971,5.97760263597,-0.030209436126,1.93616017515,6.51768283235,-4.02770883904,0.801,-0.135,0.526716710116,0.972475825427
-7.68302179739,6.01341528972,-0.0524445856329,2.11759312568,8.9379559252,-4.01966754235,0.798,0.267,0.481109396016,3.96149711413
-2.47748392898,6.03101206007,-0.0548155476751,1.98377967731,3.83861118167,-3.9107495645,0.799,0.624,0.528278740397,4.84499270061
-2.25639700152,5.99192998479,0.0178828994928,2.0583832987,3.6786602423,-3.93548845893,0.797,-0.05,0.518824688433,3.82261193351
8.30376540805,6.02576213773,-0.0305627666471,1.98263016796,-6.96604576437,-3.92869048786,0.807,-0.154,0.390169478492,2.2451297147
-5.09551586107,6.00036071159,-0.0506451059937,2.09369120565,6.20173624848,-3.86999171721,0.8,-0.239,0.51085465243,1.25324402575
6.9638733579,5.97559304882,0.0137729027231,1.96028242929,-5.68813736168,-3.89199472488,0.802,-0.437,0.545432646005,2.02902049153
2.78679492897,6.048285111,-0.0207963883935,1.99500689593,-1.61127158928,-3.93154914108,0.797,-0.86,0.621683911416,1.4703137001
2.01277898132,6.02100126345,-0.0317879962589,2.13717039523,-0.832169854631,-3.94490265962,0.796,-0.1,0.456984065074,1.65754230835
-2.77151149186,6.02775120283,-0.13140116818,1.97506110451,4.03902454041,-3.89499022286,0.798,-0.355,0.515515435169,0.964584179298
9.00969046188,6.02286364562,-0.0871377977514,1.99339464812,-7.77058622414,-3.86030147466,0.801,-0.253,0.658238403201,1.19888850665
7.80719955412,6.0260568346,0.0487233953898,1.89859701742,-6.52205367696,-3.98136948158,0.802,0.386,0.525819743497,1.17396847011
6.77509719204,5.99120189812,-0.00290817745407,1.92732070737,-5.42274067442,-4.02516554363,0.795,0.168,0.519202856819,2.9185155726
0.270063914876,5.97003398072,0.0511929929853,1.85070257192,1.18272723668,-4.02929952613,0.802,-0.422,0.479300648355,0.491119295526
-8.02216253245,6.00291904754,0.00255484238452,1.83381942806,9.31110322918,-3.97533296339,0.793,-0.102,0.480687301841,3.93008566649
13.1634002845,6.00107312294,0.0492141683762,2.02887817214,-11.6504599765,-4.07271371506,0.799,-0.38,0.483253108065,0.688042793236
-22.8145433557,6.01791748007,-0.0459674306964,1.98093156818,24.0793095013,-4.02084147437,0.794,-0.339,0.617582266527,5.87138281319
7.97602539593,6.03555695769,-0.00836162790887,1.95197486754,-6.57435907331,-3.97953189091,0.799,0.615,0.527462645691,0.931344457261
-2.60833192542,5.95940472656,0.0462653389133,1.97349363797,3.91585994225,-4.03224764481,0.799,-0.653,0.508621364061,5.42276856613
-8.9633926945,6.06177882517,-0.0120092484502,1.87784093811,10.2707649624,-4.02449890142,0.802,-0.267,0.555152969313,0.336925497357
-1.5925701117,6.00690834534,-0.0821515903655,2.00158232205,2.89028056706,-4.04671185513,0.797,0.116,0.368045364837,0.647571647883
-12.3913884757,6.00409004949,-0.121654054117,2.03128864966,13.9108938378,-4.00757409523,0.798,-0.295,0.488899259933,0.838326875302
-2.19473812681,6.03082395531,-0.0732672856381,2.00683829372,3.86525364646,-3.99241195168,0.796,-0.691,0.522903886018,0.213609122792
11.5209834423,5.9935446159,-0.0842551510718,2.16097103169,-9.61406267354,-3.96649709091,0.789,-0.511,0.391561077681,1.65200520269
-6.45716282693,5.99658235513,-0.00751434428459,2.04410968334,8.44003930651,-4.03485993222,0.803,-0.405,0.460938703238,0.758130075046
4.21883036489,5.97756618952,-0.0341721891061,1.83759801258,-2.51249684538,-3.95861739095,0.802,-0.282,0.488758066792,0.385753202676
1.9665511648,5.95104291096,-0.0540089909607,2.13881583468,-0.476574015936,-3.94806339106,0.802,-0.518,0.560767180901,1.35260430058
-0.0799833100768,6.04864347143,-0.146454557522,1.91299206646,1.51900630219,-3.90844299326,0.801,-0.336,0.520106540842,1.27572985339
-7.226135633,5.95992673977,-0.0390631745363,2.04259263748,8.72258445477,-3.90490409589,0.797,0.051,0.446412913302,0.592994640952
-5.04903873085,6.06926802886,0.00482127007442,1.97147522137,6.5133416927,-3.95463721578,0.805,0.379,0.596885488681,1.28073380985
-8.11914839346,5.97385789106,-0.0486597970457,1.95359789692,9.52819374051,-3.97347443263,0.803,0.123,0.449195776825,0.763146280367
-5.51657806677,6.01573810767,-0.0991636882084,1.88831196929,7.12881741553,-3.94889846995,0.801,-0.275,0.501603983511,1.01585050083
0.194317097683,5.99050583601,-0.0593743488779,1.97859041959,1.44680535249,-4.03890965727,0.802,0.303,0.42526663023,0.392981570921
8.08691246017,6.02033012518,-0.0538544738637,2.07419541427,-6.4372575077,-4.0421117464,0.793,-0.617,0.40656100657,0.282203801409
12.7884959172,6.02176074073,-0.0773074095829,2.08234941408,-10.9790618701,-4.07115069006,0.8,-0.652,0.467365560943,0.765267446903
6.04326896609,5.9549548915,-0.0965524831919,1.80542582666,-4.28672776429,-3.95377384374,0.796,-0.366,0.535761404882,0.305609227322
12.8509361146,6.02533880695,-0.0105034389004,2.14571525491,-11.1160812606,-3.99910922292,0.799,-0.201,0.427840405219,0.474840771853
18.0298574734,6.04316502977,-0.0123168133771,1.85137359604,-16.3370980402,-3.97461820747,0.801,-0.173,0.538707278053,0.220677891533
1.51713758347,6.03557078404,0.0143327997292,1.97385184408,0.172866452119,-3.94768184727,0.802,-0.553,0.577602527351,0.184986308598
10.429595222,6.00089440319,-0.0806286615114,1.85680028173,-8.68536050235,-3.90011301871,0.799,-0.421,0.562502532487,0.0908368146685
2.07418787965,6.00417702203,-0.043469167202,1.98095209617,-0.343967671224,-3.90719555255,0.798,-0.064,0.633268380743,0.183958100226
-2.8176904158,5.97507613207,-0.05321516429,1.99814420133,4.7025884184,-3.85577243472,0.809,-0.749,0.563384694163,0.272387166994
10.8965902128,6.00149351587,-0.0257198162992,2.00973394604,-9.20952885669,-3.70995515262,0.793,-0.635,0.571979771475,0.191236476247
-3.91642306135,6.00639783336,-0.0124458221216,2.07691355742,5.73185409248,-3.75648449599,0.8,-0.203,0.484462463039,0.472243499128
-1.33149658346,6.01958318173,-0.0337077114028,2.06485144977,2.85141199214,-3.76063672291,0.805,-0.557,0.461945143131,0.774024749063
6.51212789014,5.99802631903,-0.156054023919,2.00583522254,-5.13680272671,-3.74573629555,0.801,-0.593,0.537696436626,0.276146274176
4.93891607471,5.95676792216,0.0276928723784,2.02034771087,-3.3296861534,-3.79028604976,0.801,-0.401,0.462822068801,0.294554862933
6.57853032323,6.0277568373,-0.0945761554166,2.16443797751,-4.92412628682,-3.75690113812,0.801,-0.516,0.373497304389,0.50748706504
