beta0,beta1,beta2,beta3,gamma0,gamma1,rho,lambda,sigma_e,sigma_u
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0
10.0216133261,6.73629091745,0.435637744627,2.0510607536,-3.21337526609,-5.27173025788,0.762,-0.647,33.1985641175,3.62744536393
-3.53925505652,5.97950275729,-0.469673783365,1.17058712963,6.47276526296,-3.98841643136,0.754,-0.613,2.79530131556,0.242926734171
2.89365599769,6.11671992878,-0.11328294597,1.70903295276,-0.817833302825,-3.97738616869,0.812,0.192,1.46491283807,1.22837460704
-12.428570062,6.02623784805,-0.083912195976,1.81377478833,13.6049991181,-3.69709603199,0.806,0.135,0.694595284188,0.3512373635
-5.95833498677,5.94948880439,0.0409460954616,1.92391538569,7.27806237764,-3.66602509173,0.805,0.652,0.536379780741,0.0604250655767
0.122613136464,5.96734558081,-0.0816672993141,1.97806605411,1.19393494863,-3.75932739019,0.798,0.744,0.442594565972,0.18031306081
-7.94283433427,6.02187181918,-0.0307072763257,1.93803315098,9.32433085176,-3.92909911186,0.798,0.575,0.421043825796,0.170840721151
-4.0489792669,6.04269051569,-0.00538713925149,1.90750454629,5.43834363125,-3.86449076596,0.801,0.104,0.538848534943,0.0809904277492
-8.5137177955,5.96275438364,-0.038246921052,2.06056617417,9.81304742928,-3.89099241458,0.796,0.117,0.507815445523,0.0552442943499
0.546568439913,6.0240809171,-0.00292667844885,2.089542499,0.883147838162,-3.92142679947,0.794,-0.334,0.364877226236,0.107283759082
-0.323851274546,6.00817587925,-0.0482566537782,2.07370599865,1.96425086517,-3.92083726386,0.79,-0.534,0.646161144462,0.700345983301
8.91328868803,6.01047151529,-0.0270803420413,2.05434006443,-7.210240054,-3.92677152242,0.797,0.028,0.524238832623,0.324276727516
-5.78592115454,6.00205797407,-0.122021626628,1.87615779224,7.33667643052,-3.89024380964,0.804,0.269,0.547306994973,0.15101168925
-0.102145443868,6.05997644501,-0.0834305575543,1.855031473,1.37084885855,-3.89398424778,0.796,0.49,0.534855424382,0.0696602716682
-5.38514179395,6.05901706788,-0.0475605459012,2.19089012865,6.903056065,-3.91781822936,0.801,-0.27,0.524348422734,0.0597945737736
-2.31020186714,6.02511589208,0.0214040940015,1.94977666541,3.92522578862,-3.90930272901,0.793,0.495,0.458760295174,0.112655698058
-16.474175532,6.03947106125,-0.0344938578082,2.08125215577,18.1814955251,-3.96669104196,0.806,-0.146,0.530858451472,0.0792573010699
-6.63000232552,6.01414686995,-0.015567737292,1.93880915972,8.29145975813,-3.85491104852,0.803,0.012,0.615569154677,0.0338525165139
2.07813422633,6.01443377253,-0.101223660548,2.04979733059,-0.495347398457,-3.8461142325,0.8,-0.616,0.442603536888,0.185304775431
9.47857445302,5.99453307268,-0.0324434657154,2.11760649987,-8.09982745487,-3.90017300162,0.802,0.279,0.463751705096,0.0439777906045
-10.1219711292,6.02000254293,-0.0753655304523,2.08032361958,11.4425874829,-3.81584344677,0.796,0.529,0.439212666124,0.284609037734
-5.07181813555,6.00538741576,-0.00172825111421,1.91242846416,6.45542201088,-3.81689503206,0.801,0.411,0.478903246513,0.47680388894
-6.29317388298,5.98604033701,-0.0732127031336,1.88384490635,7.61619380978,-3.64714114634,0.801,-0.021,0.435418309619,0.30584766128
3.14651287401,6.00089276281,-0.0876901210696,1.85087671782,-1.81155688883,-3.57592499994,0.81,0.487,0.345706352474,0.972325221862
-2.05330853041,6.01092340401,-0.045523383056,1.93260046847,3.20731788648,-3.56742020942,0.802,-0.737,0.500131759039,0.265260220859
-6.41419385537,6.01914759576,-0.043112779014,1.87586430601,7.77771132994,-3.59761516398,0.8,-0.086,0.440873669814,0.573918281913
