beta0,beta1,beta2,beta3,gamma0,gamma1,rho,lambda,sigma_e,sigma_u
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0
5.92240380885,8.15501144453,-1.00030206516,2.26141470651,-7.31258478328,-2.60652149554,-0.764,-0.663,435.215858652,3.19395460102
-3.02053635633,6.3770408078,-1.28691347973,0.82538478918,6.99148396315,-3.60075832046,-0.524,-0.706,9.48268446375,1.46012805292
2.96845562471,6.50642635234,-0.524882343576,1.49306823536,-0.743033675804,-3.33789466742,-0.741,0.313,19.2370568035,5.92558794585
-11.822802344,6.32515917398,-0.143884666378,1.50497614083,14.2107668362,-3.41090301903,-0.722,0.03,3.36492396618,3.71925178788
-5.43136866913,6.07950519128,0.226827999567,2.24948910943,7.80502869526,-3.20488294768,-0.775,0.651,2.33178793289,0.411310610746
0.69185807377,5.9944307686,-0.119775540025,2.0054132848,1.76317988593,-3.39714312605,-0.797,0.928,0.631342991317,1.52318595823
-7.37028193932,6.04198483387,-0.017218922408,1.98668851804,9.89688324669,-3.46977870526,-0.798,0.57,0.421478266238,1.82196688147
-3.47703481244,6.0433131536,-0.00756822966766,1.91471611863,6.01028808569,-3.39889014925,-0.795,0.235,0.535196589831,0.619784914992
-7.92332671315,5.97657712865,-0.0361973994601,2.07628854958,10.4034385116,-3.46255642482,-0.801,0.339,0.494882604796,0.580692701048
1.0873025327,6.00911949464,-0.0104964823536,2.07833553031,1.42388193095,-3.40570526848,-0.804,0.344,0.366614709164,0.899969629509
0.184629059043,5.98964997025,-0.0662036954219,2.03784020979,2.47273119874,-3.42126678194,-0.807,0.142,0.64688120476,4.97139551944
9.46449160367,5.98696404601,-0.0348718654063,2.05966932999,-6.65903713836,-3.47713120802,-0.798,0.175,0.507454258012,4.39449564791
-5.10552404286,5.99845333218,-0.121439526911,1.8915947059,8.0170735422,-3.49689702145,-0.792,0.373,0.529073605954,3.25711176076
0.635389729807,6.07048755992,-0.0887752048276,1.83847659937,2.10838403223,-3.45583093648,-0.801,0.408,0.530501468737,0.64405501137
-4.71565488551,6.04770207043,-0.0491245091646,2.19781993951,7.57254297348,-3.47732401883,-0.794,0.623,0.54546366643,0.348560019729
-1.61180611733,6.04212094738,0.00899350825163,1.92429125688,4.62362153841,-3.49246324328,-0.804,0.761,0.483044483916,0.648702666331
-15.8911424986,6.01505944249,-0.0489948553884,2.05847883583,18.7645285585,-3.54834285388,-0.79,0.324,0.506918525291,1.10583350868
-5.95608038235,6.04298029094,-0.00920589820796,1.96100916789,8.96538170127,-3.55407164753,-0.795,0.265,0.591090033703,0.564770570546
2.74487152879,6.023740712,-0.0943411656246,2.06212717266,0.171389904014,-3.54355902392,-0.797,0.073,0.44139540486,2.53234058274
10.1327917257,5.9890268473,-0.0322090138744,2.11891922494,-7.44561018222,-3.66313475488,-0.796,0.426,0.461303613619,0.509659374346
-9.44053927708,6.01767183293,-0.0779004661458,2.06676076221,12.1240193349,-3.68797784534,-0.805,0.657,0.420480862246,2.83459657386
-4.44624972637,5.9755770287,-0.0114194014545,1.88429597758,7.08099042007,-3.65907302411,-0.792,0.478,0.497364872855,0.958878948076
-5.65246139686,6.01289562482,-0.0682758114809,1.9198475622,8.2569062959,-3.58544782534,-0.792,0.231,0.436929820387,0.381761845801
3.78027291812,6.02788936891,-0.083764319072,1.88431189021,-1.17779684477,-3.57939996921,-0.786,0.684,0.342397089578,1.65197792523
-1.36187773661,6.04310960841,-0.0536246099874,1.89862053949,3.89874868027,-3.62286966826,-0.794,-0.527,0.495328930226,0.375098478382
-5.78381276578,6.02893048662,-0.0486384567604,1.86521837193,8.40809241952,-3.62789342341,-0.793,0.338,0.460530945881,1.2466348226
-10.8155864627,6.00798160091,-0.0541941567628,1.96294675289,13.3631234734,-3.70724601345,-0.802,0.17,0.435406767353,0.308825718406
-9.11479754277,5.98610018466,-0.0957092210461,1.92502796704,11.6358255466,-3.72754592041,-0.796,-0.336,0.540257493711,0.360945132383
-10.9837174587,6.00490494208,-0.0833046117379,2.13229472887,13.3904134143,-3.77158266888,-0.801,0.314,0.520787330054,0.163258147767
6.32027658086,6.0219701216,0.04847927176,1.97458422998,-3.89704726106,-3.81014317106,-0.792,0.147,0.523355496755,0.283244962224
-7.28963342657,6.05286343349,-0.0218615049035,2.04596422709,9.57874852745,-3.85885418776,-0.798,-0.3,0.485270541136,0.544979568486
2.26999583569,6.0581107083,-0.0316597727358,2.02164787352,0.0365930229345,-3.85258386826,-0.799,0.325,0.411669552178,0.361971727479
5.16638457894,5.99061189499,-0.0826500741553,2.09992172542,-2.98258710263,-3.8566398532,-0.794,0.412,0.657700403504,0.349243948281
-8.48236645162,6.05666323632,-0.0439355900552,2.0211861573,10.4867594018,-3.83839577675,-0.795,0.211,0.473518882125,0.127851494862
0.0811227467367,6.01533955569,-0.0467161854869,1.90014499948,2.01382810762,-3.84689348417,-0.796,0.101,0.374264919233,0.169825824287
9.29970774668,6.01508090748,-0.0226587980004,1.96722219892,-7.35467490025,-3.93897806683,-0.801,-0.324,0.475716362104,0.355774267478
-10.2452859695,6.00786946208,-0.0382274994641,1.94517691842,12.3554022992,-3.95596089435,-0.793,8.881784197e-16,0.548611555368,0.262934959973
4.84746995612,5.95851430904,-0.000831981905642,2.0117282998,-2.6136454533,-3.95088423257,-0.79,-0.069,0.592345403011,0.0926168399914
3.0912335163,6.05456007543,0.0154188461731,2.01479479604,-0.806886577121,-3.87773764956,-0.793,0.565,0.52149595876,0.247704778091
0.91945078373,6.00741188327,-0.0775446251556,1.97527808347,1.26850242559,-3.85478797881,-0.795,-0.142,0.549980948193,0.628089096871
-0.565943402269,6.03053607758,-0.0221003820797,1.84534953941,2.72775121041,-3.89278823618,-0.795,-0.476,0.466185323062,0.508206543647
-13.4880905157,6.02725582469,-0.0619875081824,2.02215104248,15.7826716154,-3.88435250533,-0.793,0.485,0.379653002156,2.15984247689
1.61787433048,6.03682164073,-0.0750433556251,1.98083564516,0.667043437296,-3.80558241961,-0.798,-0.591,0.448682035788,0.284830966627
10.9168980945,5.996839334,-0.0181397364334,1.90591149122,-8.65936938591,-3.8317089614,-0.795,-0.411,0.452986521194,0.344431629578
-5.61785524149,6.00673902802,-0.0693794917061,2.00909885392,7.81646618765,-3.77175455126,-0.798,-0.468,0.43346368363,0.224090621388
1.10149253869,6.02196279503,-0.073567381575,2.20322337676,1.05363755494,-3.76716168274,-0.802,-0.502,0.524203654952,0.421172812821
-0.0598882554867,6.00540690255,-0.0532816797473,2.04404854598,2.25656155844,-3.7850537176,-0.798,0.497,0.440636307936,0.4887292485
14.9693350722,5.98180337187,-0.00464842689102,2.06992176475,-12.5984959817,-3.75213602667,-0.792,0.505,0.432410865797,0.404981915615
-0.472155280461,6.02579436249,0.032418936516,2.00083673729,2.83420219465,-3.82173609647,-0.797,0.211,0.49324799912,1.35674284131
-4.38199725935,5.96510244321,0.0122937806833,1.99180670173,6.98531597266,-3.85071368131,-0.797,0.459,0.467149254537,0.62637003095
-2.99681241301,6.00371590097,-0.0128026598931,2.05231162026,5.79780311595,-3.84000221587,-0.793,0.082,0.586880747699,0.885216286729
2.84176929421,6.07198234226,-0.00905410090734,1.83570914784,-0.0650282094115,-3.96994988818,-0.8,-0.01,0.392246798576,1.5212638688
3.19886877832,5.9970857284,-0.0806863115638,1.99033608343,-0.387062144505,-3.96893464572,-0.793,0.453,0.432616927375,2.17736602218
-9.32043860947,6.06158868204,-0.0329176722174,2.01638263218,11.9768934769,-4.04583424123,-0.793,0.175,0.48688308956,0.700135582323
4.89558310098,6.04909845851,0.0263297443147,1.80423066751,-2.34414453376,-4.03260208091,-0.801,-0.074,0.381913346893,0.396076915909
-2.48802891235,6.03054853721,-0.101026370655,2.03666971949,4.99683937404,-4.05883673584,-0.797,0.153,0.44345398696,0.734479666466
7.83361239427,6.02133831245,-0.0315636047184,1.91798414027,-5.21619802911,-4.16984140436,-0.803,0.654,0.403242290853,0.895330766767
-3.92664005978,5.98426644684,-0.00705448650764,1.97427454929,6.58508791782,-4.08804802065,-0.796,0.007,0.400195637292,0.829547479139
0.709277674574,5.96117169224,-0.0176246853359,1.9587709542,1.90678147435,-4.06065279611,-0.799,-0.082,0.508588817997,4.61285509369
-2.67776015589,6.00258507748,-0.0660358890305,2.19577218622,5.10168552332,-3.95250346417,-0.8,-0.178,0.41393240763,1.1261713517
4.24087116306,6.02804748298,-0.0474023940166,2.05918489091,-1.71570487461,-3.970270678,-0.797,-0.373,0.470094792247,1.42593309382
9.37485531114,5.9721158022,-0.0237562643827,1.86614841587,-6.78376369555,-3.9571506564,-0.797,0.514,0.44752208479,1.0222249472
-0.0224735229587,6.0168625534,-0.0030135183533,2.13043740449,2.65100329751,-3.94668561997,-0.796,0.217,0.500694676147,1.69571308568
-6.04947510617,6.03144423191,-0.0534448108308,2.00409588545,8.6542802462,-3.87082680323,-0.798,0.816,0.481609985598,0.805937052943
2.68849497558,6.00167826219,-0.0481149833358,1.98627516624,-0.00519506961806,-3.84693872584,-0.789,0.325,0.49838077618,2.72392263706
3.25468208435,6.03537792685,-0.106182223395,1.91511595187,-0.789607237663,-3.70697766929,-0.796,0.801,0.430670291587,1.1242433656
-0.363679937208,5.98009802358,0.0170310546662,2.0078785251,3.04167777257,-3.73493446152,-0.796,0.18,0.439174806959,0.619798971143
10.6973996181,5.99954767789,-0.0674753272143,1.87677264484,-7.89797873829,-3.68809851477,-0.794,0.147,0.418352443676,2.52136364869
7.62212752955,6.0420591149,-0.00749542761911,2.03783788324,-4.86990596983,-3.8002576276,-0.792,0.383,0.342224334223,2.59951285734
4.38638105631,6.02737350522,-0.0412702126911,1.97747558212,-1.5438302773,-3.82204643912,-0.802,0.514,0.343657406235,0.945518991576
4.74835318475,5.99763451018,-0.00537967423357,1.95344321096,-1.95000020136,-3.83184815684,-0.795,0.202,0.534880922291,0.355181807501
2.55647641259,5.96824022733,-0.0687000378708,1.96432093973,0.20517179443,-3.77775285417,-0.799,0.443,0.514896349325,2.26067507413
3.11689414591,6.02764579959,-0.0468659321322,2.00151929242,-0.220475092432,-3.76480676697,-0.796,0.194,0.427942490955,0.991147279779
11.0792489965,6.03529749206,-0.0299442276502,1.84922279976,-8.21242402437,-3.74892128515,-0.797,0.866,0.411584156325,0.815535641647
10.6923533241,6.00625452192,-0.0907645603087,1.95340635989,-7.83266813036,-3.71992247058,-0.801,0.005,0.403512970125,0.429049504061
-3.18575374915,6.02035321899,-0.0366077963837,2.04406508018,5.95703549701,-3.68053368621,-0.796,0.466,0.418744352145,4.84339218211
2.35501881553,5.97406982296,-0.00889154612772,2.12284027888,0.470792872303,-3.73445046733,-0.793,0.351,0.435401075234,0.280329112829
-5.05832525114,6.04036261769,-0.0510738744864,1.95184591479,7.92526519867,-3.62297898211,-0.793,0.347,0.591321405877,0.535724858973
-5.21261082665,6.01734293917,-0.04877259722,1.86324012328,8.07608732309,-3.67172923887,-0.79,-0.077,0.492899124795,2.81669311235
15.8120776786,6.00226530239,0.00730590388088,1.77278814304,-12.7255813693,-3.67347745138,-0.802,-0.237,0.570941787881,1.32820828196
11.7451455398,5.97075983527,0.0394692403053,1.94713680655,-8.52043406747,-3.80166360617,-0.79,0.294,0.498325532587,2.25132011016
6.69005173352,6.0001528056,-0.0447269295941,2.15790375918,-3.64177315989,-3.81551561307,-0.792,-0.076,0.507802000354,0.777874827611
-3.29493407272,6.0226680976,-0.125106285582,1.88347823519,6.19644685156,-3.75103391175,-0.795,0.652,0.491154169322,2.21146869483
4.07128504414,6.02695503891,0.00884722176258,1.9014789154,-1.1688470882,-3.73721997072,-0.796,0.39,0.484771426809,1.15402404841
-1.91421247047,5.99585031975,-0.0398072675965,2.09217577945,4.79562449976,-3.71740251008,-0.79,0.773,0.479377677663,0.41414279861
-1.31429028517,6.00586886791,-0.0299681237556,1.89270443478,4.13657938499,-3.58928578325,-0.801,0.665,0.4522641626,0.324628238296
4.66985437413,6.02544783368,0.0573331846387,1.99560300049,-1.89084616826,-3.62577940346,-0.793,0.486,0.446856459069,3.08663156088
-3.08943742112,5.98407317335,-0.124546634571,1.85147664303,5.88513367294,-3.59959421322,-0.796,0.361,0.404311407883,0.367289588361
-5.82854022145,6.01072940383,-0.00450678695402,2.03736831449,8.6092712182,-3.68245785636,-0.802,0.7,0.432059528471,0.302779238374
-1.04205856498,6.0304153761,-0.0610451838051,1.94023964627,3.83696847319,-3.73101047011,-0.798,0.372,0.52949592981,0.171354069748
-6.31399886214,6.04540458395,-0.0350619653575,1.90537247026,9.07889880685,-3.67089526421,-0.787,0.707,0.544893167638,5.21369999049
-4.70443783884,6.04098197255,-0.0655833290438,2.06473511921,7.49211686846,-3.76139436466,-0.798,0.253,0.420625270127,0.318732850863
-6.0114161923,6.012124,-0.0153016924403,2.04539124304,8.71449873366,-3.71986120846,-0.798,0.343,0.478469977523,0.391967036503
-13.9408526576,6.03214972016,0.00509439775218,2.00424963359,16.536998482,-3.79573664097,-0.8,0.105,0.377200440934,0.475917482979
-0.514971511273,6.04256286801,-0.0609872655513,2.08262054142,3.18394502874,-3.83313010176,-0.791,0.274,0.457606198752,1.74028482788
2.77589756065,6.0142281401,-0.114354208428,1.99799137592,-0.0750743477769,-3.79577485234,-0.794,0.787,0.429508343154,0.740343363236
1.75531784924,6.00864883019,-0.0690772913018,2.05675950043,0.941052663044,-3.80386179062,-0.793,0.667,0.449842682592,0.332603147093
-5.22966934918,6.04310225079,-0.0598776611546,1.98090536448,7.88737642611,-3.79197417028,-0.799,0.405,0.468231844393,0.481549145207
-12.993246643,5.97151843439,-0.0970614214429,2.03536528299,15.6655637464,-3.8121710362,-0.799,0.643,0.537077205291,0.279966401997
-10.1742444966,5.98219822143,-0.0659480938026,1.9746859052,12.7344288046,-3.87252007149,-0.796,0.542,0.655628166221,0.221532515645
-5.39514994038,5.93796418517,-0.0715554854247,2.02383476697,7.90407645948,-3.85488429383,-0.794,0.494,0.534754742176,0.4802466916
-1.16148406383,6.00609901705,-0.0382090942225,2.02019530307,3.56407427884,-3.81434307018,-0.793,0.329,0.533923620011,0.138568585584
4.05257905182,6.02236790076,-0.0245614380525,1.948374164,-1.69642200643,-3.7903648592,-0.794,-0.102,0.453700108764,0.0993695409112
4.05251857725,5.98363727119,-0.0182808479063,1.9264044992,-1.79358233636,-3.89874413086,-0.802,-0.483,0.40293036783,0.407004734812
14.0679609056,5.98950089933,-0.0215346163714,1.873261874,-12.0116881103,-3.86583390531,-0.793,0.153,0.40411625032,0.0566514912183
0.991282228843,6.05895287625,-0.0730545220161,2.0384622331,0.866435024399,-3.87087341311,-0.8,-0.381,0.377753175629,0.198895095506
6.76458934694,6.02626645481,-0.0554726617381,2.02058609889,-4.66317222229,-3.92469986275,-0.796,-0.438,0.517657037784,0.197524155522
6.47612027362,6.00395948938,-0.100780834537,2.09960635539,-4.3639039956,-3.97003398582,-0.8,0.416,0.425525852684,0.263220835181
-2.83771624249,6.01743779341,-0.108362326355,2.04584304755,4.93848060163,-4.02489906335,-0.797,-0.472,0.407502071125,0.522849872197
13.879778176,6.00751750651,-0.110177316427,1.96335714953,-11.7641836109,-4.11237610175,-0.802,-0.369,0.41669597854,0.301501843512
-3.20742321559,6.0335828565,-0.0646018372169,1.75672719337,5.27480266332,-4.09118730531,-0.797,0.191,0.486559705154,0.0773641733679
-7.90121207083,6.03010489999,-0.0540151502855,1.86218100576,9.95041282052,-4.11541532084,-0.802,-0.268,0.69033490144,0.803684724531
-4.95418462151,6.03202222117,-0.0607812248303,2.04002177961,6.8358831831,-4.10545458878,-0.796,0.11,0.494311924012,0.219451732891
-5.66183802097,6.00571490763,0.0864846156458,1.84092936516,7.50799361036,-4.06518979972,-0.794,-0.676,0.45303121735,1.24260545284
-2.73716430934,6.00029377157,-0.0354170450983,1.98043857522,4.65753693911,-4.11798958326,-0.793,-0.191,0.345848632903,1.61958658319
11.6698171066,6.01243590813,-0.0433896219856,2.03828223372,-9.79421093901,-4.16177592149,-0.794,-0.171,0.389699361695,0.556231183633
5.6500840005,5.9902832997,-0.14250461824,2.15627981692,-3.73412114664,-4.14862835076,-0.8,-0.716,0.435973110132,1.77977965755
-6.65019561202,6.02734479108,-0.0320068274786,2.09767363995,8.64467819973,-4.17709781725,-0.794,-0.895,0.45803195268,2.32139068031
-13.6587859806,6.01239739007,-0.00261886447625,1.90043529271,15.7173436061,-4.16233143768,-0.797,0.799,0.52319909126,0.803493703708
-0.168162845474,6.01557686042,-0.03246921357,2.01520972628,2.19859962418,-4.2135730032,-0.793,-0.231,0.460984425621,1.1927958299
-2.28898029003,5.97835992614,-0.0659772987259,1.87598809289,4.29488061513,-4.20834110565,-0.794,0.097,0.591383487816,3.99723833142
-0.254504845571,5.99529990459,-0.121183004155,2.0516914285,2.17800462931,-4.27496317445,-0.794,-0.353,0.421023791431,0.895311167134
-1.36461057346,6.01446315097,-0.0649384285775,1.92552539301,3.20742627678,-4.24061911543,-0.791,-0.065,0.462423021381,0.759749106142
12.3666374336,5.9940962828,-0.0493758675886,1.9720203208,-10.6386206951,-4.27814952772,-0.795,-0.198,0.432291650787,0.284011903149
-9.18471477484,6.01052625652,-0.048760701795,1.97898446303,11.0273418674,-4.26399057266,-0.794,-0.523,0.419222669685,0.334336581693
-2.1156145228,6.0237909371,-0.0152199005566,1.97394954513,3.88010552427,-4.21844034768,-0.794,0.157,0.412695008807,0.714740072633
8.79529491622,6.01388037237,-0.0306931793782,1.98434422427,-7.09199343791,-4.26691039436,-0.795,-0.667,0.560960063333,0.251030239367
-1.31103609609,5.99879599477,-0.0236439329852,2.1091375822,3.04315308779,-4.2203934852,-0.79,-0.577,0.527031944079,0.160440942082
6.61121366813,6.03828127816,-0.0823175988124,1.9500574599,-4.8196427985,-4.33253895705,-0.787,0.144,0.522946581404,1.63519986108
-5.063205315,6.01609420433,-0.0186976660113,1.89454868635,6.89008445732,-4.24673604266,-0.798,-0.57,0.485773326381,0.32559666494
0.571529069716,6.00735973876,-0.0321833454853,2.11785783812,1.29670733857,-4.26935055275,-0.804,0.177,0.561820443024,0.291381657945
-11.1925805027,5.96516632741,0.019808841371,2.13870966115,13.099725679,-4.22346591932,-0.791,-0.299,0.568584663403,0.650442085708
-6.64288108047,6.02580983532,-0.0435785882366,1.85728064963,8.79451635017,-4.12854010962,-0.791,0.652,0.416673214576,0.383263627546
-0.0422665169912,6.04602611365,-0.0430667337357,2.01587879183,2.24234392919,-4.16603641823,-0.796,-0.035,0.477578341933,0.269264939605
-6.5824557924,6.0379339466,-0.0366731873319,1.97058203278,8.79632372956,-4.16761073261,-0.796,-0.15,0.41792038881,0.155669866045
0.119106925229,6.0518079676,-0.0474560838874,2.02669146345,2.01109043052,-4.2058675452,-0.799,-0.109,0.455153628142,0.494411265079
1.50260933016,6.02025414896,-0.0252565407111,2.10302666366,0.636124497357,-4.12572449134,-0.801,-0.747,0.674984885481,0.17413581693
12.9791712413,5.98760846292,-0.0841010352975,1.88330471712,-10.6370057734,-4.07552350232,-0.798,-0.462,0.515271805596,0.1384443998
-8.68124535917,6.0069629382,0.0585004834657,1.98192862043,10.9135314904,-4.02859871996,-0.797,0.483,0.462418971123,0.624082587724
4.04865999804,6.01264352266,-0.0546790913424,1.99194760005,-1.84632456193,-3.99837142118,-0.8,-0.307,0.513697139644,0.155741318953
3.79939743408,5.99112507572,-0.0365008113923,2.05663078085,-1.57782374652,-4.04339492734,-0.792,0.004,0.551743517508,0.446531565823
-4.94234681678,6.01020998144,-0.0275515831567,1.92915400716,7.04321794563,-4.03081818421,-0.794,-0.183,0.466922947782,0.256380861421
18.1482506747,6.03616540859,-0.0648299407989,1.93257855863,-15.9883009039,-4.05020403163,-0.805,-0.265,0.462107625527,0.148749600243
4.12816575251,5.95891954569,0.050043464444,1.85315282152,-1.89869338953,-4.04472813611,-0.794,-0.084,0.633717687133,0.2625713323
1.63595960489,6.0346045112,-0.0269793600162,2.08609361724,0.608863508864,-4.04576188745,-0.795,0.222,0.401546278409,1.00216402931
15.9587530572,6.02427967322,-0.0473409489777,2.10432109873,-13.6383789224,-4.0799216822,-0.802,-0.389,0.441069104228,0.171976718719
-2.34084709782,5.97610610903,-0.0422153964892,2.04874730283,4.80705142569,-4.06486246275,-0.793,0.449,0.41359690298,1.45969766838
-13.1875475922,5.9739268955,0.00691678688196,2.13570238595,15.6309592653,-4.16023221587,-0.793,-0.242,0.466134902564,0.295794834435
13.2689715341,6.0149808848,-0.0813200867514,1.84332622334,-10.9302504897,-4.1788769281,-0.798,0.296,0.392348167668,0.783644617965
5.47219041145,5.98329151072,0.00158368686094,2.00966577869,-3.14484346496,-4.23127080147,-0.798,0.445,0.503699215767,0.365405242969
-0.806445684783,6.00195230126,-0.0131424693175,2.0157189323,3.15485524465,-4.25379379016,-0.79,0.208,0.424990772791,0.29972603146
-1.4572667059,6.01721216949,0.0209399115427,1.82144799988,3.84467449191,-4.3068289475,-0.793,0.324,0.660791036973,0.382276793354
8.34065056768,6.01028482405,-0.107843164991,2.03191033357,-6.10671721003,-4.18191256829,-0.789,-0.746,0.451738912284,1.20599010998
0.608059923308,6.03956818078,-0.103834631751,1.98936029244,1.64248127612,-4.22135377135,-0.792,0.438,0.642953814241,3.70204893903
13.0085101681,6.03033744892,-0.0814687039797,1.76274308662,-10.6372289838,-4.1979451484,-0.8,0.12,0.566066040633,10.4897290443
13.8671145211,6.02164628054,-0.0614592634542,2.03656947774,-11.5586774535,-4.22761398294,-0.797,-0.688,0.354884610416,0.658564811926
3.1684703919,6.0010121086,-0.0173661126669,1.95141602727,-0.79950044461,-4.20637175705,-0.797,0.403,0.369270940773,0.351402176756
-3.05038792107,6.05454302411,-0.00230838369071,1.84150441185,5.41369172051,-4.25848367352,-0.796,-0.206,0.455104063305,0.623949678033
