beta0,beta1,beta2,beta3,gamma0,gamma1,rho,lambda,sigma_e,sigma_u
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0
6.31426994532,6.50157738816,-0.676266321429,1.91097012271,-6.92071864681,-2.71799360537,-0.335,-0.646,66.0231128256,1.23127715501
-3.69237426591,6.21555520269,-0.532569319549,1.67559848333,6.31964605358,-3.77446701661,-0.336,-0.509,1.90743349566,0.569476719739
3.04965367575,6.07105905305,-0.207609819902,1.74974832206,-0.661835624758,-3.70160423741,-0.357,0.316,0.920712412642,2.97975808198
-11.886939339,6.08073709516,-0.0755300430011,1.91104375649,14.1466298411,-3.69464797448,-0.376,0.205,0.696812831082,0.358363409655
-5.44078779051,5.97556653516,0.0384210446937,1.94350191656,7.79560957387,-3.67176364611,-0.38,0.707,0.552718659933,0.106723631189
0.624179816773,5.98641351446,-0.0898606131994,1.97770391476,1.69550162894,-3.75858063024,-0.394,0.918,0.4430216405,0.441323046521
-7.48106110432,6.03093253028,-0.0325606613513,1.95903586256,9.7861040817,-3.7918389323,-0.395,0.544,0.416671880189,0.574239855989
-3.58655190992,6.04484022203,-0.00957803717245,1.91708430867,5.90077098823,-3.74910876558,-0.389,0.21,0.535199106416,0.213292725317
-8.03811792807,5.97454662776,-0.0404361042893,2.07543953936,10.2886472967,-3.80652999184,-0.399,0.258,0.506048463571,0.133228111147
0.968473021399,6.02235496383,-0.00536441150345,2.10387018472,1.30505241963,-3.80958198991,-0.408,0.008,0.356299761644,0.346005101277
0.0665554488361,5.99270320091,-0.0515954775151,2.07010206985,2.35465758856,-3.81166440578,-0.411,0.102,0.646019501499,2.31873493585
9.33890792021,5.99347112481,-0.0319880926631,2.06221338409,-6.78462082181,-3.86112611887,-0.398,0.191,0.502145549262,2.11611349606
-5.23785319168,5.9931408095,-0.123258169047,1.8833164984,7.88474439338,-3.85198916258,-0.387,0.381,0.533678024325,1.18153744944
0.493682556602,6.06374197637,-0.092301250276,1.83573613833,1.96667685903,-3.80182425923,-0.403,0.393,0.529119315557,0.254074503114
-4.84496431676,6.04515722223,-0.0501120140713,2.18941625519,7.4432335422,-3.80951063421,-0.388,0.666,0.549898823659,0.111136101096
-1.75923458892,6.03849106808,0.00432183088205,1.92065410476,4.47619306683,-3.80549162637,-0.408,0.727,0.466580646769,0.296874685139
-16.0292934272,6.01988953407,-0.0377265746624,2.08286542518,18.6263776299,-3.92382429062,-0.381,0.324,0.511742621849,0.535468606484
-6.11520957257,6.03602002734,-0.016145566345,1.95586711076,8.80625251103,-3.89221128696,-0.389,0.244,0.596259608882,0.245508383887
2.58821260152,6.02236581218,-0.0982307266272,2.06353386704,0.0147309767739,-3.88146445482,-0.395,0.025,0.436770221796,1.31562428367
9.97528802201,5.98881157948,-0.0335158225922,2.11909727776,-7.60311388585,-3.99158586842,-0.391,0.367,0.459550713099,0.29993018082
-9.60767650657,6.02366198814,-0.0754471950151,2.08702893321,11.9568821055,-4.06117796941,-0.408,0.516,0.425656028785,1.85375373125
-4.59961699533,5.98170809159,-0.00861452764711,1.88788314035,6.92762315111,-4.02714779296,-0.39,0.406,0.494052020676,0.795896082032
-5.80714715707,5.99110075788,-0.0789899442796,1.88301673383,8.10222053568,-3.84860471046,-0.384,0.044,0.442943867733,0.119431344733
3.6147005874,6.0216377592,-0.090152453831,1.87935260726,-1.34336917548,-3.83289697378,-0.376,0.409,0.341833224775,0.722941026218
-1.54494690521,6.0335612907,-0.0558379965461,1.9089977572,3.71567951167,-3.84527577861,-0.389,-0.602,0.492631640651,0.169752461563
-5.96017841994,6.02808812458,-0.0494001510486,1.87372236396,8.23172676534,-3.87056100062,-0.386,-0.006,0.461558918128,0.307812377459
-11.0003114252,6.00477443782,-0.0576718028255,1.96593256389,13.1783985109,-3.93292018635,-0.401,-0.17,0.442558686364,0.0994665036201
-9.36245207014,6.00142282539,-0.0820927569693,1.97415799286,11.3881710192,-4.01517415677,-0.392,-0.816,0.533923107704,0.111755712782
-11.208874498,6.0083175714,-0.08531305558,2.13564819212,13.165256375,-4.03369971356,-0.398,-0.224,0.531918966152,0.0222544634056
6.10932338705,6.03377010023,0.0490299759583,1.98529876147,-4.10800045488,-3.95807364013,-0.382,-0.808,0.559032116924,0.0456718467093
-7.54416462538,6.05713543734,-0.021596931072,2.06826146115,9.32421732863,-3.86814556511,-0.393,-0.768,0.501362636403,0.0742696028291
2.07843672918,6.06920277454,-0.0310506902207,2.03904447322,-0.154966083608,-3.95670985808,-0.398,-0.433,0.417142165544,0.0797074315897
5.01505195545,5.99091347711,-0.0764543031253,2.12098244806,-3.13391972612,-3.9688467337,-0.39,-0.083,0.664547662157,0.116725987968
-8.66859658416,6.04880761638,-0.0535328796449,1.99873330453,10.3005292692,-3.88191771256,-0.39,-0.064,0.477833592973,0.114944495356
-0.0478058319133,6.01278280849,-0.0454872190934,1.91205337794,1.88489952896,-3.88851410949,-0.393,0.027,0.376291205605,0.0995403162711
9.22094489596,6.01034574929,-0.0287050109724,1.95389155851,-7.4334377509,-3.9481037735,-0.4,-0.339,0.479918748887,0.273746851024
-10.31473895,6.01181911394,-0.0409855457975,1.9410767026,12.2859493187,-3.99429911513,-0.387,-0.111,0.547588921715,0.188907318523
4.77401973226,5.9545095893,-0.004156071614,2.01298237321,-2.68709567714,-3.9815863145,-0.382,-0.607,0.601376309613,0.0538798552671
2.92420641049,6.05100586192,0.0203182140409,2.04233099708,-0.973913682939,-3.91901120684,-0.386,-0.196,0.521353413157,0.0616179889868
0.77064774659,6.0049193181,-0.0780407523469,1.98698747893,1.11969938844,-3.88300133124,-0.388,-0.636,0.557470881828,0.22268892923
-0.716819991899,6.03173167558,-0.0234684612301,1.85471125301,2.57687462079,-3.91236215781,-0.389,-0.706,0.471753178994,0.122636610445
-13.634734741,6.02634663745,-0.0643515331103,2.02762326495,15.6360273901,-3.90221880387,-0.388,-0.205,0.3741197279,0.809323412893
1.49637740349,6.03430563021,-0.0644503640656,2.01950066917,0.545546510299,-3.80398623452,-0.397,-0.645,0.447491404358,0.173615432441
10.8131701151,5.99289808558,-0.0191652236115,1.90327827386,-8.76309736534,-3.87108745289,-0.388,-0.654,0.461415616154,0.0853952688367
-5.72890380286,6.01290081662,-0.0681349076994,2.03109559085,7.7054176263,-3.85633841336,-0.393,-0.546,0.441805706232,0.0447237725313
