beta0,beta1,beta2,beta3,gamma0,gamma1,rho,lambda,sigma_e,sigma_u
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.0
6.15672527658,7.04202280698,-0.843873344633,1.95681922964,-7.07826331555,-2.61437966121,-0.539,-0.661,143.562862469,1.94864550467
-3.47436339036,6.29407429988,-0.791532582186,1.36136276465,6.53765692912,-3.7003104433,-0.445,-0.376,4.20642876247,0.830425404272
3.02820544685,6.18681194729,-0.342473657606,1.61493647905,-0.683283853656,-3.5265741713,-0.544,-0.306,3.37845802078,6.72781480103
-11.8413446362,6.16000662967,-0.101131989872,1.80747297623,14.1922245439,-3.58551156112,-0.565,-0.031,1.22456588015,1.25371723028
-5.5870447078,5.97043361195,0.0710990808088,1.95045446128,7.64935265658,-3.53208077452,-0.577,-0.087,0.676232964821,0.600730864383
0.464386888027,6.00025600608,-0.0835900214603,2.01605246913,1.5357087002,-3.55860222888,-0.599,0.107,0.484104502324,1.87125312491
-7.75026726028,6.01120662214,-0.0526872404276,1.87848659042,9.51689792573,-3.59055647532,-0.596,-0.01,0.420499817431,3.8613579492
-3.86495296959,6.04326874823,-0.0099848447279,1.91175976352,5.62236992854,-3.5484042237,-0.593,-0.158,0.534718259969,1.038668232
-8.2962581354,5.96886837413,-0.0456876187299,2.04929632704,10.0305070894,-3.60327767299,-0.602,-0.461,0.500323650642,0.779843153111
0.708023540519,6.00663595374,-0.0147809805106,2.06311844401,1.04460293876,-3.56745179667,-0.606,-0.548,0.358768273451,1.02156130882
-0.250989438752,5.98924056572,-0.0596014258136,2.05054576733,2.03711270098,-3.55721604794,-0.61,-0.656,0.647024344134,3.85374840967
9.01469277814,5.98422591131,-0.0462892765607,2.02006942608,-7.10883596388,-3.53456337888,-0.596,-0.217,0.50413769237,2.52035942286
-5.64041986359,5.99915352237,-0.127399858996,1.87858821877,7.48217772145,-3.4979297956,-0.588,-0.188,0.532628606958,3.69309780195
0.0748720190964,6.07094109269,-0.0766992347996,1.88005712954,1.54786632155,-3.58116595587,-0.601,-0.028,0.519215963573,1.02538171159
-5.20483092725,6.05014453011,-0.0438434388509,2.2115944319,7.08336693173,-3.58975862287,-0.59,-0.444,0.545324495224,0.645432684508
